Gene stable ID,Transcript stable ID,UniProtKB/TrEMBL ID,Plant Reactome Reaction ID
ATMG00670,ATMG00670.1,A0A178U7I1,
AT5G47520,AT5G47520.1,A0A178U7I3,
AT1G51490,AT1G51490.1,A0A178U7I4,
AT5G25050,AT5G25050.1,A0A178U7I6,
AT5G05630,AT5G05630.1,A0A178U7I7,
AT5G41690,AT5G41690.1,A0A178U7I9,
AT5G25350,AT5G25350.1,A0A178U7J0,
AT5G24640,AT5G24640.1,A0A178U7J1,
ATMG00410,ATMG00410.1,A0A178U7J2,
AT2G07741,AT2G07741.1,A0A178U7J2,
AT1G63440,AT1G63440.1,A0A178U7J3,
AT5G08620,AT5G08620.1,A0A178U7J5,
AT5G03380,AT5G03380.1,A0A178U7J6,
AT5G02780,AT5G02780.3,A0A178U7J7,
AT5G42700,AT5G42700.1,A0A178U7J8,
AT5G65410,AT5G65410.1,A0A178U7K0,
